"muscle","side","x_origin","y_origin","z_origin","x_insertion","y_insertion","z_insertion","force"
"mAMES","L","87.61","41.61","-168.2937918","108.9854783","4.920958152","-133.03378","664.6544351"
"mAMES","R","-83.78","45.11","-162.5821205","-108.4023319","7.685872828","-140.509346","612.1075547"
"mAMEM","L","34.23","42.75","-140.0803716","102.7197299","-1.586159555","-128.7321313","271.9196418"
"mAMEM","R","-30.17","43.41","-138.6022485","-103.183493","2.878560801","-143.6918878","298.4573202"
"mAMEP","L","27.1","65.45","-129.8336534","92.15284748","-9.952038342","-71.71871827","84.53959671"
"mAMEP","R","-19.67","69.61","-128.2681696","-90.18802995","-2.986792524","-79.14515646","83.22173889"
"mAMP","L","64.22","35.93","-172.175195","110.4768933","-53.78988195","-139.5886286","2720.17005"
"mAMP","R","-63.62","35.82","-173.0865903","-107.7720597","-51.89303459","-138.460113","2712.969349"
"mPSTs","L","23.28","68.29","-118.2401593","95.93230111","-78.92559659","-17.4652799","698.1928087"
"mPSTs","R","-16.86","68.99","-116.0591304","-88.19231832","-78.51399391","-11.91688888","671.6496255"
"mPSTp","L","19.48","48.86","-118.8146726","97.75551942","-59.62903492","-142.8256868","10.84126974"
"mPSTp","R","-12.5","48.74","-116.8830937","-92.88411927","-58.08457533","-143.6505444","13.26542674"
"mPTd","L","38.76","21.33","-68.78926307","91.02718123","-28.47084579","-222.3012052","3643.175838"
"mPTd","R","-34.88","20.6","-62.60169022","-91.49263218","-26.18698343","-220.5090268","3819.057249"
"mPTv","L","47.8","-50.51","-129.303897","112.2937184","-21.17201185","-245.5242043","700.5592588"
"mPTv","R","-40.91","-47.44","-128.6800686","-113.5530578","-22.11550335","-239.1554845","694.0046342"
"mDM","L","76.37","56.17","-206.2647673","86.71243992","9.904210199","-255.2486656","673.6103138"
"mDM","R","-75.48","58.03","-200.6555957","-90.74246493","13.11122853","-250.6255245","728.7437412"
