Muscle,R,G,B,Hex,R1,G1,B1
mAMES,0,0,255,#0000FF,0,0,1
mAMEM,85,255,255,#55FFFF,0.333333333,1,1
mAMEP,128,128,255,#8080FF,0.501960784,0.501960784,1
mAMP,0,255,0,#00FF00,0,1,0
mPSTs,255,128,255,#FF80FF,1,0.501960784,1
mPSTp,64,0,128,#400080,0.250980392,0,0.501960784
mPTd,255,128,0,#FF8000,1,0.501960784,0
mPTv,255,0,0,#FF0000,1,0,0
mPPt,128,128,128,#808080,0.501960784,0.501960784,0.501960784
mDM,255,0,128,#FF0080,1,0,0.501960784
mLPT,9,196,168,#09C4A8,0.035294118,0.768627451,0.658823529
mEM,255,255,0,#FFFF00,1,1,0
mPT,125,183,230,#7DB7E6,0.490196078,0.717647059,0.901960784
